name,time,temperature,humidity,wind,battery
sn50v3_reinfeld,2026-09-01 00:17:17.575181437,15.3,90,0,3.6
sn50v3_reinfeld,2026-09-01 00:37:17.26832776,15.4,90.4,0,3.6
sn50v3_reinfeld,2026-09-01 00:57:16.96782758,15.5,90.8,0,3.6
sn50v3_reinfeld,2026-09-01 01:17:16.67099334,15.3,92.6,0,3.6
sn50v3_reinfeld,2026-09-01 01:37:16.334111401,15.1,94.9,0,3.6
sn50v3_reinfeld,2026-09-01 01:57:16.048110285,15.1,95.8,0,3.6
sn50v3_reinfeld,2026-09-01 02:17:15.735527862,15,96.2,0,3.6
sn50v3_reinfeld,2026-09-01 02:37:15.441775877,15.1,96.5,0,3.6
sn50v3_reinfeld,2026-09-01 02:57:15.130429407,15,96.7,0,3.6
sn50v3_reinfeld,2026-09-01 03:17:14.831622839,14.9,96.8,0,3.6
sn50v3_reinfeld,2026-09-01 03:37:14.507157163,14.9,97,0,3.6
sn50v3_reinfeld,2026-09-01 03:57:14.204804902,14.8,97,0,3.6
sn50v3_reinfeld,2026-09-01 04:17:13.885270543,15,97.2,0,3.6
sn50v3_reinfeld,2026-09-01 04:57:13.295056691,14.9,97.2,0,3.6
sn50v3_reinfeld,2026-09-01 05:17:12.97906899,15.1,97.2,0,3.6
sn50v3_reinfeld,2026-09-01 05:37:12.685208134,15.3,97.2,0,3.6
sn50v3_reinfeld,2026-09-01 05:57:12.345305593,15.3,97,0,3.6
sn50v3_reinfeld,2026-09-01 06:17:12.039683695,15.3,96.9,0,3.6
sn50v3_reinfeld,2026-09-01 06:37:11.742110662,15.5,96.5,0,3.6
sn50v3_reinfeld,2026-09-01 07:17:11.121589085,16,95.2,0,3.6
sn50v3_reinfeld,2026-09-01 07:37:10.854882203,16.4,93.1,0,3.6
sn50v3_reinfeld,2026-09-01 07:57:10.534949178,16.7,91.7,0,3.594
sn50v3_reinfeld,2026-09-01 08:17:10.263418984,17.1,89.1,0,3.6
sn50v3_reinfeld,2026-09-01 08:37:09.928821835,17.5,87.8,0,3.594
sn50v3_reinfeld,2026-09-01 08:57:09.609910716,18,86.4,0,3.594
sn50v3_reinfeld,2026-09-01 09:17:09.309788058,18.4,83.9,0,3.6
sn50v3_reinfeld,2026-09-01 09:37:09.020182936,18.6,81.2,0,3.6
sn50v3_reinfeld,2026-09-01 09:57:08.690375834,19.4,76.2,0,3.6
sn50v3_reinfeld,2026-09-01 10:17:08.398336016,19.5,72.7,0,3.6
sn50v3_reinfeld,2026-09-01 10:37:08.098613543,19.6,73.5,0,3.594
sn50v3_reinfeld,2026-09-01 10:57:07.77708992,20,72.8,0,3.6
sn50v3_reinfeld,2026-09-01 11:17:07.472777847,20,73.2,0,3.6
sn50v3_reinfeld,2026-09-01 11:37:07.149062579,16.6,90.7,0,3.6
sn50v3_reinfeld,2026-09-01 11:57:06.834185297,16,94.7,0,3.6
sn50v3_reinfeld,2026-09-01 12:17:06.555240688,15.8,95.4,0,3.6
sn50v3_reinfeld,2026-09-01 12:37:06.248183258,15.9,95.6,0,3.6
sn50v3_reinfeld,2026-09-01 12:57:05.942033141,16.6,95.4,0,3.6
sn50v3_reinfeld,2026-09-01 13:17:05.59830065,16.8,94.6,0,3.6
sn50v3_reinfeld,2026-09-01 13:37:05.309716839,16.4,93,0,3.6
sn50v3_reinfeld,2026-09-01 13:57:05.009080401,16.3,92,0,3.6
sn50v3_reinfeld,2026-09-01 14:17:04.689367757,16.7,90.6,0,3.6
sn50v3_reinfeld,2026-09-01 14:37:04.386939555,17.2,86.5,0,3.6
sn50v3_reinfeld,2026-09-01 14:57:04.082413793,17.5,84.3,0,3.594
sn50v3_reinfeld,2026-09-01 15:17:03.792724355,16.9,85.7,0,3.6
sn50v3_reinfeld,2026-09-01 15:37:03.48256353,17.2,84.1,0,3.6
sn50v3_reinfeld,2026-09-01 15:57:03.168353193,17.8,80.7,0,3.6
sn50v3_reinfeld,2026-09-01 16:17:02.872246566,17.7,79.6,0,3.6
sn50v3_reinfeld,2026-09-01 16:37:02.589247159,17.9,75,0,3.6
sn50v3_reinfeld,2026-09-01 17:17:01.940611193,17.7,72.7,0,3.6
sn50v3_reinfeld,2026-09-01 17:37:01.619795487,17.2,73.6,0,3.594
sn50v3_reinfeld,2026-09-01 17:57:01.318521256,17.2,73.9,0,3.6
sn50v3_reinfeld,2026-09-01 18:17:00.995728086,16.8,75.2,0,3.6
sn50v3_reinfeld,2026-09-01 18:37:00.703517211,16.6,76.9,0,3.6
sn50v3_reinfeld,2026-09-01 18:57:00.395175544,16,79.5,0,3.6
sn50v3_reinfeld,2026-09-01 19:17:00.101427074,15.9,80.7,0,3.6
sn50v3_reinfeld,2026-09-01 19:36:59.778899792,15.8,80.8,0,3.6
sn50v3_reinfeld,2026-09-01 19:56:59.475942266,15.5,83.9,0,3.6
sn50v3_reinfeld,2026-09-01 20:16:59.175197562,15.3,86.1,0,3.6
sn50v3_reinfeld,2026-09-01 20:36:58.857058273,15,87.1,0,3.6
sn50v3_reinfeld,2026-09-01 20:56:58.569360017,14.9,88.2,0,3.6
sn50v3_reinfeld,2026-09-01 21:16:58.232812184,14.9,87.5,0,3.6
sn50v3_reinfeld,2026-09-01 21:36:57.939889796,15,87.7,0,3.6
sn50v3_reinfeld,2026-09-01 21:56:57.637423072,14.6,89.4,0,3.6
sn50v3_reinfeld,2026-09-01 22:16:57.339443837,14.4,89.7,0,3.6
sn50v3_reinfeld,2026-09-01 22:36:57.01808608,14.1,91.3,0,3.6
sn50v3_reinfeld,2026-09-01 22:56:56.71626554,14.1,92,0,3.6
sn50v3_reinfeld,2026-09-01 23:16:56.426489413,14,92.3,0,3.6
sn50v3_reinfeld,2026-09-01 23:36:56.107460883,14,92.7,0,3.6
sn50v3_reinfeld,2026-09-01 23:56:55.798572215,14,92.3,0,3.6
sn50v3_reinfeld,2026-09-02 00:16:55.489165168,13.6,91.9,0,3.594
sn50v3_reinfeld,2026-09-02 00:56:54.884500982,13.3,92.7,0,3.6
sn50v3_reinfeld,2026-09-02 01:16:54.584638957,13,92.7,0,3.6
sn50v3_reinfeld,2026-09-02 01:56:53.963754835,12.8,93,0,3.6
sn50v3_reinfeld,2026-09-02 02:36:53.39894058,12.7,93,0,3.6
