name,time,temperature,humidity,wind,battery
sn50v3_reinfeld,2026-04-01 00:13:28.005634904,2.4,96.4,0,3.594
sn50v3_reinfeld,2026-04-01 00:33:27.691616991,2.8,96.7,0,3.588
sn50v3_reinfeld,2026-04-01 00:53:27.406302192,2.5,96.8,0,3.588
sn50v3_reinfeld,2026-04-01 01:13:27.104386322,1.8,96.8,0,3.588
sn50v3_reinfeld,2026-04-01 01:33:26.805377834,1.6,97.2,0,3.588
sn50v3_reinfeld,2026-04-01 01:53:26.515773045,1.5,97.4,0,3.588
sn50v3_reinfeld,2026-04-01 02:13:26.256567572,1.5,97.5,0,3.588
sn50v3_reinfeld,2026-04-01 02:33:25.932208997,1.2,97.6,0,3.588
sn50v3_reinfeld,2026-04-01 03:13:25.327801682,1.6,98.3,0,3.588
sn50v3_reinfeld,2026-04-01 03:33:25.03864031,1.5,98.4,0,3.588
sn50v3_reinfeld,2026-04-01 03:53:24.724611961,1.1,98.5,0,3.588
sn50v3_reinfeld,2026-04-01 04:13:24.444731391,0.9,98.6,0,3.594
sn50v3_reinfeld,2026-04-01 04:33:24.156527185,0.8,98.7,0,3.588
sn50v3_reinfeld,2026-04-01 04:53:23.875980261,0.8,98.8,0,3.588
sn50v3_reinfeld,2026-04-01 05:13:23.550130417,0.7,98.8,0,3.588
sn50v3_reinfeld,2026-04-01 05:33:23.270150541,0.9,98.9,0,3.588
sn50v3_reinfeld,2026-04-01 05:53:22.992565125,1.1,98.8,0,3.588
sn50v3_reinfeld,2026-04-01 06:13:22.671702269,1.5,98.7,0,3.588
sn50v3_reinfeld,2026-04-01 06:33:22.389584782,1.7,98.5,0,3.588
sn50v3_reinfeld,2026-04-01 06:53:22.088474571,2.1,98.2,0,3.588
sn50v3_reinfeld,2026-04-01 07:13:21.787895619,2.5,98.1,0,3.588
sn50v3_reinfeld,2026-04-01 07:33:21.489721062,2.8,97.9,0,3.588
sn50v3_reinfeld,2026-04-01 07:53:21.192266932,3.2,97.5,0,3.588
sn50v3_reinfeld,2026-04-01 08:13:20.903639936,3.6,96.9,0,3.588
sn50v3_reinfeld,2026-04-01 08:33:20.585652833,4.1,97,0,3.588
sn50v3_reinfeld,2026-04-01 08:53:20.296774531,4.7,96,0,3.588
sn50v3_reinfeld,2026-04-01 09:13:19.994195746,5.1,92,0,3.588
sn50v3_reinfeld,2026-04-01 09:33:19.686725191,5.4,90,0,3.588
sn50v3_reinfeld,2026-04-01 09:53:19.390287804,6,86.1,0,3.588
sn50v3_reinfeld,2026-04-01 10:13:19.087506085,6.3,84.2,0,3.588
sn50v3_reinfeld,2026-04-01 10:33:18.783701299,7.6,81,0,3.588
sn50v3_reinfeld,2026-04-01 10:53:18.478388165,8.2,77.2,0,3.588
sn50v3_reinfeld,2026-04-01 11:33:17.852355927,15,52.4,0,3.588
sn50v3_reinfeld,2026-04-01 11:53:17.550351768,14.3,53.6,0,3.588
sn50v3_reinfeld,2026-04-01 12:13:17.232423497,13.4,50.3,0,3.588
sn50v3_reinfeld,2026-04-01 12:33:16.928942934,13.3,51.2,0,3.588
sn50v3_reinfeld,2026-04-01 12:53:16.605022465,13.5,48.8,0,3.582
sn50v3_reinfeld,2026-04-01 13:13:16.328201093,14.6,46.5,0,3.588
