#group,false,false,false,false,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string
#default,_result,,,,,
,result,table,_time,_value,_field,_measurement
,,0,2025-09-10T15:39:53.442Z,3.636,BatV,waldsensor_breklum
,,1,2025-09-10T15:48:41.157Z,3.582,BatV,waldsensor_fahrdorf
,,2,2025-09-10T15:37:35.104Z,3.654,BatV,waldsensor_hooge
,,3,2025-09-10T15:44:10.237Z,3.636,BatV,waldsensor_kropp
,,4,2025-09-10T15:39:39.465Z,3.414,BatV,waldsensor_lsn50
,,5,2025-09-10T15:38:38.151Z,3.642,BatV,waldsensor_neumuenstertl
,,6,2025-09-10T15:41:08.769Z,3.612,BatV,waldsensor_s31
,,7,2025-09-09T16:06:47.898Z,3.326,BatV,waldsensor_se01
,,8,2025-09-10T15:39:53.442Z,59.3,Hum_SHT,waldsensor_breklum
,,9,2025-09-10T15:48:41.157Z,81.5,Hum_SHT,waldsensor_fahrdorf

#group,false,false,false,false,true,true
#datatype,string,long,dateTime:RFC3339,string,string,string
#default,_result,,,,,
,result,table,_time,_value,_field,_measurement
,,10,2025-09-10T15:37:35.104Z,NULL,Hum_SHT,waldsensor_hooge

#group,false,false,false,false,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string
#default,_result,,,,,
,result,table,_time,_value,_field,_measurement
,,11,2025-09-10T15:44:10.237Z,82.8,Hum_SHT,waldsensor_kropp
,,12,2025-09-10T15:38:38.151Z,60.3,Hum_SHT,waldsensor_neumuenstertl
,,13,2025-09-10T15:39:53.442Z,25.5,TempC_SHT,waldsensor_breklum
,,14,2025-09-10T15:48:41.157Z,18.4,TempC_SHT,waldsensor_fahrdorf

#group,false,false,false,false,true,true
#datatype,string,long,dateTime:RFC3339,string,string,string
#default,_result,,,,,
,result,table,_time,_value,_field,_measurement
,,15,2025-09-10T15:37:35.104Z,NULL,TempC_SHT,waldsensor_hooge

#group,false,false,false,false,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string
#default,_result,,,,,
,result,table,_time,_value,_field,_measurement
,,16,2025-09-10T15:44:10.237Z,17.8,TempC_SHT,waldsensor_kropp
,,17,2025-09-10T15:38:38.151Z,25.4,TempC_SHT,waldsensor_neumuenstertl
,,18,2025-09-10T15:37:35.104Z,54.5582,lat,waldsensor_hooge
,,19,2025-09-10T15:44:10.237Z,54.40939889088546,lat,waldsensor_kropp
,,20,2025-09-10T15:39:39.465Z,54.40984567949143,lat,waldsensor_lsn50
,,21,2025-09-10T11:23:27.599926222Z,54.07586,lat,waldsensor_neumuenstertl
,,22,2025-09-10T15:41:08.769Z,54.65110574466205,lat,waldsensor_s31
,,23,2025-09-10T15:37:35.104Z,8.5464,lon,waldsensor_hooge
,,24,2025-09-10T15:44:10.237Z,9.5285027323752,lon,waldsensor_kropp
,,25,2025-09-10T15:39:39.465Z,9.527197375208443,lon,waldsensor_lsn50
,,26,2025-09-10T11:23:27.599926222Z,9.98926,lon,waldsensor_neumuenstertl
,,27,2025-09-10T15:41:08.769Z,8.956861941075635,lon,waldsensor_s31

